Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;28,00;56,00;60,00;36,00;352,00;61,00;78,00;29,00;13,00
2019-04-28;25,00;79,17;58,33;41,67;358,33;46,00;75,00;36,00;14,00
2019-05-05;27,00;57,86;57,86;46,29;293,14;51,00;50,00;37,00;14,00
2019-05-12;25,00;58,33;45,83;41,67;329,17;49,00;48,00;34,00;15,00
2019-05-19;26,00;78,00;39,00;47,67;329,33;48,00;60,00;43,00;16,00
2019-05-26;23,00;76,67;38,33;38,33;329,67;40,00;68,00;32,00;15,00
2019-06-02;31,00;88,57;57,57;44,29;385,29;50,00;68,00;39,00;15,00
2019-06-09;25,00;58,33;50,00;50,00;366,67;53,00;54,00;38,00;15,00
2019-06-16;26,00;69,33;69,33;47,67;394,33;55,00;55,00;42,00;16,00
2019-06-23;21,00;71,40;50,40;50,40;415,80;48,00;50,00;45,00;17,00
2019-06-30;24,00;76,00;48,00;44,00;356,00;48,00;57,00;37,00;16,00
2019-07-07;29,00;78,71;53,86;49,71;385,29;51,00;69,00;41,00;15,00
2019-07-14;31,00;88,57;66,43;48,71;394,14;55,00;95,00;40,00;14,00
2019-07-21;29,00;87,00;53,86;53,86;389,43;62,00;76,00;46,00;13,00
2019-07-28;29,00;111,86;62,14;53,86;397,71;64,00;97,00;44,00;13,00
2019-08-04;27,00;81,00;50,14;54,00;374,14;67,00;76,00;40,00;13,00
2019-08-11;27,00;112,50;58,50;58,50;450,00;59,00;81,00;41,00;13,00
2019-08-18;28,00;68,00;48,00;52,00;364,00;61,00;60,00;40,00;13,00
2019-08-25;25,00;79,17;50,00;50,00;362,50;55,00;46,00;36,00;13,00
2019-09-01;27,00;81,00;67,50;49,50;373,50;62,00;59,00;37,00;14,00
2019-09-08;27,00;69,43;61,71;42,43;331,71;58,00;67,00;47,00;14,00
2019-09-15;24,00;76,00;72,00;48,00;328,00;61,00;68,00;42,00;15,00
2019-09-22;29,00;82,86;66,29;49,71;343,86;61,00;72,00;41,00;15,00
2019-09-29;32,00;88,00;64,00;48,00;344,00;65,00;50,00;40,00;15,00
2019-10-06;23,00;65,17;53,67;49,83;310,50;67,00;63,00;43,00;13,00
2019-10-13;28,00;64,00;48,00;40,00;340,00;64,00;73,00;38,00;13,00
2019-10-20;25,00;91,67;54,17;45,83;383,33;61,00;69,00;42,00;13,00
2019-10-27;24,00;100,00;48,00;44,00;356,00;100,00;58,00;38,00;12,00
2019-11-03;21,00;84,00;54,60;54,60;344,40;68,00;53,00;36,00;12,00
2019-11-10;24,00;68,00;48,00;48,00;312,00;68,00;51,00;33,00;13,00
2019-11-17;20,00;68,00;60,00;44,00;296,00;67,00;52,00;31,00;13,00
2019-11-24;23,00;78,20;55,20;46,00;326,60;65,00;47,00;31,00;12,00
2019-12-01;24,00;56,00;48,00;52,00;296,00;68,00;56,00;32,00;12,00
2019-12-08;24,00;60,00;44,00;40,00;296,00;55,00;54,00;32,00;13,00
2019-12-15;22,00;74,80;66,00;39,60;360,80;56,00;54,00;35,00;14,00
2019-12-22;30,00;94,29;60,00;42,86;372,86;75,00;71,00;37,00;15,00
2019-12-29;33,00;86,63;49,50;41,25;371,25;77,00;65,00;41,00;16,00
2020-01-05;28,00;76,00;44,00;48,00;300,00;68,00;70,00;45,00;18,00
2020-01-12;27,00;76,50;76,50;58,50;346,50;69,00;60,00;49,00;18,00
2020-01-19;23,00;76,67;38,33;46,00;279,83;63,00;50,00;43,00;17,00
2020-01-26;22,00;79,20;52,80;48,40;321,20;56,00;55,00;36,00;15,00
2020-02-02;20,00;76,00;44,00;44,00;316,00;50,00;56,00;41,00;14,00
2020-02-09;24,00;60,00;64,00;44,00;332,00;60,00;67,00;41,00;16,00
2020-02-16;23,00;69,00;49,83;46,00;314,33;50,00;61,00;39,00;17,00
2020-02-23;21,00;67,20;46,20;33,60;319,20;45,00;72,00;39,00;18,00
2020-03-01;18,00;72,00;45,00;45,00;306,00;40,00;42,00;35,00;15,00
2020-03-08;18,00;85,50;36,00;31,50;306,00;24,00;41,00;30,00;18,00
2020-03-15;11,00;29,33;25,67;14,67;143,00;24,00;29,00;21,00;12,00
2020-03-22;8,00;24,00;16,00;16,00;92,00;19,00;14,00;12,00;9,00
2020-03-29;9,00;22,50;13,50;13,50;94,50;16,00;17,00;11,00;8,00
2020-04-05;8,00;16,00;8,00;16,00;76,00;15,00;11,00;12,00;8,00
2020-04-12;5,00;25,00;25,00;20,00;85,00;19,00;19,00;11,00;7,00
2020-04-19;5,00;25,00;15,00;15,00;95,00;15,00;15,00;9,00;6,00
2020-04-26;6,00;30,00;24,00;18,00;120,00;15,00;11,00;10,00;6,00
2020-05-03;7,00;10,50;7,00;7,00;77,00;13,00;14,00;11,00;6,00
2020-05-10;6,00;30,00;24,00;18,00;156,00;16,00;16,00;12,00;6,00
2020-05-17;6,00;18,00;9,00;9,00;93,00;17,00;11,00;13,00;7,00
2020-05-24;6,00;24,00;30,00;12,00;210,00;16,00;14,00;12,00;6,00
2020-05-31;8,00;24,00;24,00;12,00;172,00;15,00;20,00;13,00;7,00
2020-06-07;9,00;27,00;18,00;13,50;202,50;16,00;26,00;12,00;8,00
2020-06-14;11,00;29,33;18,33;11,00;179,67;17,00;28,00;13,00;6,00
2020-06-21;10,00;55,00;40,00;15,00;270,00;19,00;30,00;17,00;7,00
2020-06-28;13,00;60,67;26,00;13,00;247,00;19,00;40,00;20,00;6,00
2020-07-05;16,00;56,00;28,00;16,00;244,00;22,00;49,00;21,00;6,00
2020-07-12;16,00;68,00;28,00;16,00;256,00;19,00;55,00;21,00;8,00
2020-07-19;16,00;60,00;20,00;20,00;240,00;18,00;56,00;23,00;7,00
2020-07-26;16,00;48,00;36,00;16,00;240,00;20,00;50,00;19,00;8,00
2020-08-02;15,00;37,50;22,50;15,00;243,75;21,00;40,00;20,00;7,00
2020-08-09;12,00;44,00;28,00;20,00;256,00;29,00;52,00;18,00;7,00
2020-08-16;16,00;48,00;32,00;20,00;232,00;20,00;25,00;11,00;6,00
2020-08-23;12,00;36,00;32,00;16,00;212,00;21,00;26,00;13,00;7,00
2020-08-30;8,00;32,00;16,00;16,00;200,00;19,00;18,00;13,00;7,00
2020-09-06;8,00;28,00;20,00;20,00;204,00;19,00;26,00;14,00;7,00
2020-09-13;11,00;25,67;22,00;14,67;198,00;20,00;25,00;15,00;6,00
2020-09-20;8,00;24,00;20,00;20,00;200,00;35,00;25,00;12,00;7,00
2020-09-27;9,00;31,50;9,00;18,00;211,50;21,00;23,00;11,00;7,00
2020-10-04;8,00;40,00;12,00;20,00;180,00;28,00;19,00;15,00;8,00
2020-10-11;8,00;28,00;12,00;16,00;192,00;23,00;17,00;12,00;8,00
2020-10-18;6,00;42,00;24,00;24,00;282,00;19,00;20,00;13,00;7,00
2020-10-25;5,00;25,00;20,00;15,00;180,00;23,00;15,00;11,00;7,00
2020-11-01;6,00;24,00;24,00;18,00;132,00;39,00;11,00;10,00;6,00
2020-11-08;7,00;17,50;14,00;10,50;80,50;19,00;12,00;12,00;6,00
2020-11-15;6,00;15,00;12,00;9,00;69,00;13,00;14,00;12,00;7,00
2020-11-22;6,00;36,00;30,00;18,00;168,00;17,00;13,00;12,00;7,00
2020-11-29;5,00;30,00;15,00;15,00;145,00;19,00;13,00;11,00;7,00
2020-12-06;7,00;21,00;14,00;10,50;119,00;20,00;17,00;11,00;7,00
2020-12-13;5,00;30,00;20,00;15,00;175,00;15,00;14,00;11,00;7,00
2020-12-20;6,00;36,00;18,00;12,00;240,00;18,00;12,00;14,00;7,00
2020-12-27;8,00;24,00;28,00;12,00;164,00;19,00;13,00;11,00;7,00
2021-01-03;6,00;48,00;18,00;18,00;234,00;20,00;17,00;11,00;8,00
2021-01-10;6,00;42,00;30,00;24,00;222,00;18,00;13,00;12,00;7,00
2021-01-17;6,00;30,00;24,00;18,00;204,00;18,00;14,00;13,00;6,00
2021-01-24;7,00;17,50;10,50;10,50;108,50;20,00;12,00;8,00;7,00
2021-01-31;7,00;17,50;14,00;10,50;112,00;17,00;15,00;7,00;6,00
2021-02-07;5,00;20,00;15,00;15,00;185,00;13,00;12,00;7,00;7,00
2021-02-14;6,00;30,00;30,00;18,00;246,00;13,00;17,00;8,00;8,00
2021-02-21;9,00;22,50;13,50;13,50;171,00;15,00;17,00;9,00;6,00
2021-02-28;5,00;25,00;15,00;15,00;180,00;14,00;12,00;8,00;7,00
2021-03-07;8,00;32,00;20,00;12,00;196,00;17,00;18,00;10,00;7,00
2021-03-14;6,00;15,00;12,00;9,00;108,00;16,00;16,00;12,00;6,00
2021-03-21;6,00;24,00;24,00;18,00;192,00;16,00;15,00;8,00;7,00
2021-03-28;4,00;12,00;8,00;8,00;132,00;15,00;10,00;7,00;8,00
2021-04-04;5,00;20,00;15,00;10,00;140,00;17,00;12,00;7,00;8,00
2021-04-11;8,00;20,00;8,00;8,00;120,00;18,00;12,00;6,00;9,00
2021-04-18;6,00;15,00;12,00;6,00;102,00;18,00;14,00;7,00;8,00
2021-04-25;6,00;27,00;12,00;9,00;111,00;19,00;16,00;7,00;8,00
2021-05-02;6,00;30,00;24,00;18,00;252,00;19,00;22,00;6,00;8,00
2021-05-09;7,00;21,00;17,50;14,00;150,50;15,00;16,00;7,00;9,00
2021-05-16;9,00;36,00;22,50;22,50;220,50;19,00;19,00;7,00;9,00
2021-05-23;9,00;49,50;18,00;18,00;229,50;21,00;27,00;8,00;9,00
2021-05-30;11,00;36,67;33,00;18,33;201,67;32,00;27,00;8,00;10,00
