Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;41,00;14,00;0,00;14,00
2019-01-13;61,00;20,00;0,00;0,00
2019-01-20;67,00;13,00;0,00;0,00
2019-01-27;59,00;7,00;0,00;0,00
2019-02-03;47,00;13,00;7,00;0,00
2019-02-10;62,00;35,00;14,00;7,00
2019-02-17;57,00;7,00;14,00;0,00
2019-02-24;28,00;42,00;0,00;0,00
2019-03-03;47,00;20,00;7,00;7,00
2019-03-10;20,00;7,00;0,00;0,00
2019-03-17;35,00;0,00;7,00;0,00
2019-03-24;49,00;0,00;0,00;0,00
2019-03-31;21,00;0,00;21,00;0,00
2019-04-07;56,00;7,00;0,00;14,00
2019-04-14;36,00;0,00;0,00;7,00
2019-04-21;56,00;21,00;7,00;0,00
2019-04-28;69,00;21,00;0,00;0,00
2019-05-05;27,00;7,00;0,00;0,00
2019-05-12;41,00;7,00;0,00;0,00
2019-05-19;20,00;14,00;0,00;0,00
2019-05-26;34,00;21,00;7,00;7,00
2019-06-02;52,00;13,00;6,00;6,00
2019-06-09;40,00;7,00;0,00;7,00
2019-06-16;82,00;7,00;14,00;0,00
2019-06-23;48,00;14,00;0,00;0,00
2019-06-30;61,00;14,00;0,00;0,00
2019-07-07;34,00;0,00;0,00;0,00
2019-07-14;70,00;7,00;14,00;0,00
2019-07-21;14,00;7,00;0,00;0,00
2019-07-28;73,00;29,00;7,00;0,00
2019-08-04;51,00;7,00;7,00;7,00
2019-08-11;29,00;15,00;0,00;0,00
2019-08-18;57,00;29,00;0,00;0,00
2019-08-25;48,00;0,00;7,00;0,00
2019-09-01;39,00;7,00;0,00;0,00
2019-09-08;46,00;0,00;0,00;7,00
2019-09-15;39,00;7,00;0,00;0,00
2019-09-22;44,00;0,00;0,00;6,00
2019-09-29;38,00;6,00;6,00;0,00
2019-10-06;64,00;0,00;0,00;13,00
2019-10-13;70,00;0,00;0,00;0,00
2019-10-20;45,00;6,00;0,00;0,00
2019-10-27;38,00;25,00;6,00;13,00
2019-11-03;37,00;6,00;19,00;0,00
2019-11-10;56,00;13,00;0,00;6,00
2019-11-17;37,00;13,00;6,00;0,00
2019-11-24;24,00;36,00;0,00;6,00
2019-12-01;31,00;0,00;0,00;0,00
2019-12-08;55,00;6,00;0,00;0,00
2019-12-15;43,00;0,00;6,00;0,00
2019-12-22;28,00;21,00;7,00;0,00
2019-12-29;72,00;20,00;0,00;7,00
2020-01-05;84,00;6,00;0,00;0,00
2020-01-12;30,00;6,00;0,00;6,00
2020-01-19;24,00;12,00;6,00;0,00
2020-01-26;35,00;12,00;0,00;0,00
2020-02-02;78,00;18,00;0,00;0,00
2020-02-09;48,00;12,00;0,00;0,00
2020-02-16;36,00;12,00;6,00;0,00
2020-02-23;47,00;12,00;0,00;0,00
2020-03-01;40,00;6,00;0,00;0,00
2020-03-08;64,00;6,00;6,00;0,00
2020-03-15;38,00;0,00;0,00;0,00
2020-03-22;42,00;5,00;0,00;0,00
2020-03-29;32,00;0,00;0,00;0,00
2020-04-05;16,00;11,00;0,00;5,00
2020-04-12;33,00;6,00;0,00;6,00
2020-04-19;65,00;16,00;0,00;0,00
2020-04-26;25,00;0,00;0,00;0,00
2020-05-03;51,00;0,00;0,00;0,00
2020-05-10;37,00;0,00;0,00;0,00
2020-05-17;81,00;6,00;0,00;0,00
2020-05-24;39,00;11,00;0,00;0,00
2020-05-31;53,00;5,00;11,00;5,00
2020-06-07;59,00;0,00;5,00;0,00
2020-06-14;72,00;6,00;0,00;0,00
2020-06-21;76,00;0,00;0,00;0,00
2020-06-28;45,00;6,00;6,00;0,00
2020-07-05;36,00;12,00;6,00;12,00
2020-07-12;100,00;6,00;0,00;0,00
2020-07-19;25,00;6,00;0,00;0,00
2020-07-26;37,00;6,00;6,00;0,00
2020-08-02;25,00;31,00;0,00;0,00
2020-08-09;50,00;6,00;0,00;0,00
2020-08-16;50,00;12,00;0,00;6,00
2020-08-23;36,00;0,00;0,00;0,00
2020-08-30;60,00;6,00;0,00;0,00
2020-09-06;29,00;12,00;0,00;0,00
2020-09-13;52,00;0,00;0,00;0,00
2020-09-20;17,00;12,00;0,00;0,00
2020-09-27;30,00;0,00;0,00;0,00
2020-10-04;54,00;6,00;0,00;0,00
2020-10-11;70,00;6,00;0,00;0,00
2020-10-18;44,00;0,00;6,00;0,00
2020-10-25;29,00;0,00;0,00;0,00
2020-11-01;22,00;11,00;0,00;5,00
2020-11-08;34,00;0,00;0,00;0,00
2020-11-15;86,00;0,00;0,00;6,00
2020-11-22;45,00;6,00;6,00;6,00
2020-11-29;56,00;6,00;0,00;0,00
2020-12-06;51,00;6,00;6,00;6,00
2020-12-13;61,00;6,00;0,00;0,00
2020-12-20;47,00;20,00;0,00;0,00
2020-12-27;60,00;13,00;0,00;0,00
2021-01-03;61,00;18,00;0,00;0,00
2021-01-10;54,00;24,00;0,00;0,00
2021-01-17;77,00;24,00;0,00;0,00
2021-01-24;24,00;6,00;6,00;0,00
2021-01-31;30,00;0,00;6,00;0,00
2021-02-07;24,00;0,00;0,00;0,00
2021-02-14;56,00;0,00;0,00;0,00
2021-02-21;44,00;6,00;0,00;0,00
2021-02-28;37,00;6,00;0,00;6,00
2021-03-07;24,00;12,00;0,00;6,00
2021-03-14;46,00;6,00;0,00;0,00
2021-03-21;68,00;0,00;0,00;0,00
2021-03-28;38,00;0,00;6,00;0,00
2021-04-04;35,00;18,00;0,00;6,00
2021-04-11;54,00;12,00;0,00;0,00
2021-04-18;37,00;0,00;6,00;0,00
2021-04-25;62,00;0,00;0,00;0,00
2021-05-02;42,00;0,00;0,00;6,00
2021-05-09;78,00;0,00;0,00;0,00
2021-05-16;43,00;0,00;0,00;0,00
2021-05-23;63,00;6,00;0,00;6,00
2021-05-30;43,00;12,00;6,00;0,00
2021-06-06;51,00;0,00;0,00;6,00
2021-06-13;56,00;6,00;0,00;0,00
2021-06-20;44,00;6,00;0,00;0,00
2021-06-27;44,00;0,00;0,00;12,00
2021-07-04;31,00;0,00;0,00;6,00
2021-07-11;85,00;7,00;0,00;0,00
2021-07-18;41,00;7,00;0,00;14,00
2021-07-25;33,00;7,00;0,00;0,00
2021-08-01;54,00;0,00;0,00;0,00
2021-08-08;36,00;0,00;0,00;0,00
2021-08-15;54,00;7,00;0,00;0,00
2021-08-22;28,00;29,00;0,00;0,00
2021-08-29;41,00;0,00;0,00;0,00
2021-09-05;41,00;0,00;0,00;0,00
2021-09-12;46,00;0,00;0,00;0,00
